Date,Exercise,Set 1 Weight,Set 1 Reps,Set 2 Weight,Set 2 Reps,Set 3 Weight,Set 3 Reps,Set 4 Weight,Set 4 Reps,Set 5 Weight,Set 5 Reps,Comments
5/9/2023,Bench Press,145,8,145,6,135,7,,,,,Warmup - 95 x 6
5/9/2023,Dumbbell Shoulder Press,40,8,40,7,40,7,35,7,,,
5/9/2023,Incline Dumbbell Bench Press,35,4,35,6,,,,,,,
5/9/2023,Lateral Raises,15,12,15,12,15,10,10,12,,,
5/9/2023,Pec Fly Machine,70,15,90,10,90,12,,,,,
5/10/2023,Cable Row,105,10,120,10,120,8,85,8,,,Warmup - 27.5 x 10
5/10/2023,Weight Assisted Pullups,30,10,30,8,30,6,,,,,
5/10/2023,Lat Pulldown,70,8,120,6,120,8,,,,,
5/10/2023,Bicep Curls,25,10,25,8,25,8,,,,,
5/10/2023,Lower Back Extension,25,15,25,12,,,,,,,
5/10/2023,Face Pulls,35,12,42.5,10,42.5,12,,,,,"1(mid), 2(low), 3(high)"
5/11/2023,Leg Press Machine,290,12,310,8,310,7,,,,,Warmup - 150 x 10
5/11/2023,RDL,135,10,135,10,135,8,,,,,Warmup - 95 x 10m Grip strength limiter second set
5/11/2023,Leg Raises,0,12,0,12,0,10,,,,,
5/11/2023,Lateral Raises,15,12,15,12,15,12,,,,,
5/12/2023,Bench Press,145,9,145,8,145,6,,,,,
5/12/2023,Dumbbell Shoulder Press,40,8,40,8,40,8,,,,,
5/12/2023,Incline Dumbbell Bench Press,45,8,45,6,45,6,,,,,
5/12/2023,Lateral Raises,15,15,15,12,15,10,10,10,,,
5/12/2023,Pec Fly Machine,100,12,100,15,110,15,,,,,
5/13/2023,Deadlift,135,8,155,10,155,10,,,,,
5/13/2023,Lat Pulldown,130,10,130,10,130,7,120,3,,,Warmup - 90 x 8
5/13/2023,Cable Row,120,10,120,10,120,10,,,,,
5/13/2023,Bicep Curls,25,10,25,10,,,,,,,
5/14/2023,Calf Extension Machine,150,10,150,12,150,12,,,,,
5/14/2023,Leg Press Machine,280,15,370,8,370,8,,,,,
5/14/2023,Ab Crunch Machine,110,10,110,10,,,,,,,
5/14/2023,Lateral Raises,15,16,15,15,15,15,,,,,
5/15/2023,Bench Press,155,8,155,7,135,10,,,,,
5/15/2023,Dumbbell Shoulder Press,40,10,40,8,40,8,40,6,,,
5/15/2023,Incline Dumbbell Bench Press,45,8,45,4,,,,,,,
5/15/2023,Lateral Raises,15,16,15,15,15,12,10,8,,,
5/15/2023,Pec Fly Machine,110,6,90,10,90,8,,,,,
5/17/2023,Single Arm Chest Supported Row Machine,105,15,130,8,130,8,,,,,
5/17/2023,Lat Pulldown Machine,130,10,,,,,,,,,
5/17/2023,Lat Pulldown,120,10,120,8,,,,,,,
5/17/2023,Bicep Curls,30,7,30,6,30,6,,,,,
5/17/2023,Face Pulls,42.5,10,42.5,10,42.5,10,,,,,"1(mid), 2(low), 3(high)"
5/19/2023,Leg Press Machine,280,10,370,8,370,10,370,8,,,
5/19/2023,Hip Abduction Machine,190,12,230,10,210,12,,,,,
5/19/2023,Hip Adduction Machine,190,15,210,10,,,,,,,
5/19/2023,Lateral Raises,15,16,15,16,15,14,,,,,
5/19/2023,Leg Raises,0,15,0,12,0,10,,,,,
5/21/2023,Bench Press,155,8,155,7,155,6,,,,,
5/21/2023,Dumbbell Shoulder Press,40,11,40,9,40,9,,,,,
5/21/2023,Incline Dumbbell Bench Press,45,7,45,7,45,7,,,,,
5/21/2023,Lateral Raises,20,12,15,12,15,12,10,10,,,
